MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,Location,WindGustDir,WindDir9am,WindDir3pm,RainToday,RainTomorrow
13.4,22.9,0.6,4.8,8.5,44.0,20.0,24.0,71.0,22.0,1007.7,1007.1,8.0,5.0,16.9,21.8,Albury,W,W,WNW,No,No
7.4,25.1,0.0,4.8,8.5,44.0,4.0,22.0,44.0,25.0,1010.6,1007.8,5.0,5.0,17.2,24.3,Albury,WNW,NNW,WSW,No,No
12.9,25.7,0.0,4.8,8.5,46.0,19.0,26.0,38.0,30.0,1007.6,1008.7,5.0,2.0,21.0,23.2,Albury,WSW,W,WSW,No,No
9.2,28.0,0.0,4.8,8.5,24.0,11.0,9.0,45.0,16.0,1017.6,1012.8,5.0,5.0,18.1,26.5,Albury,NE,SE,E,No,No
17.5,32.3,1.0,4.8,8.5,41.0,7.0,20.0,82.0,33.0,1010.8,1006.0,7.0,8.0,17.8,29.7,Albury,W,ENE,NW,No,No
14.6,29.7,0.2,4.8,8.5,56.0,19.0,24.0,55.0,23.0,1009.2,1005.4,5.0,5.0,20.6,28.9,Albury,WNW,W,W,No,No
14.3,25.0,0.0,4.8,8.5,50.0,20.0,24.0,49.0,19.0,1009.6,1008.2,1.0,5.0,18.1,24.6,Albury,W,SW,W,No,No
7.7,26.7,0.0,4.8,8.5,35.0,6.0,17.0,48.0,19.0,1013.4,1010.1,5.0,5.0,16.3,25.5,Albury,W,SSE,W,No,No
9.7,31.9,0.0,4.8,8.5,80.0,7.0,28.0,42.0,9.0,1008.9,1003.6,5.0,5.0,18.3,30.2,Albury,NNW,SE,NW,No,Yes
13.1,30.1,1.4,4.8,8.5,28.0,15.0,11.0,58.0,27.0,1007.0,1005.7,5.0,5.0,20.1,28.2,Albury,W,S,SSE,Yes,No
13.4,30.4,0.0,4.8,8.5,30.0,17.0,6.0,48.0,22.0,1011.8,1008.7,5.0,5.0,20.4,28.8,Albury,N,SSE,ESE,No,Yes
15.9,21.7,2.2,4.8,8.5,31.0,15.0,13.0,89.0,91.0,1010.5,1004.2,8.0,8.0,15.9,17.0,Albury,NNE,NE,ENE,Yes,Yes
15.9,18.6,15.6,4.8,8.5,61.0,28.0,28.0,76.0,93.0,994.3,993.0,8.0,8.0,17.4,15.8,Albury,W,NNW,NNW,Yes,Yes
12.6,21.0,3.6,4.8,8.5,44.0,24.0,20.0,65.0,43.0,1001.2,1001.8,5.0,7.0,15.8,19.8,Albury,SW,W,SSW,Yes,No
9.8,27.7,0.0,4.8,8.5,50.0,13.0,22.0,50.0,28.0,1013.4,1010.3,0.0,5.0,17.3,26.2,Albury,WNW,N,WNW,No,No
14.1,20.9,0.0,4.8,8.5,22.0,11.0,9.0,69.0,82.0,1012.2,1010.4,8.0,1.0,17.2,18.1,Albury,ENE,SSW,E,No,Yes
13.5,22.9,16.8,4.8,8.5,63.0,6.0,20.0,80.0,65.0,1005.8,1002.2,8.0,1.0,18.0,21.5,Albury,W,N,WNW,Yes,Yes
11.2,22.5,10.6,4.8,8.5,43.0,24.0,17.0,47.0,32.0,1009.4,1009.7,5.0,2.0,15.5,21.0,Albury,SSE,WSW,SW,Yes,No
9.8,25.6,0.0,4.8,8.5,26.0,17.0,6.0,45.0,26.0,1019.2,1017.1,5.0,5.0,15.8,23.2,Albury,SSE,SE,NNW,No,No
11.5,29.3,0.0,4.8,8.5,24.0,9.0,9.0,56.0,28.0,1019.3,1014.8,5.0,5.0,19.1,27.3,Albury,S,SE,SE,No,No
17.1,33.0,0.0,4.8,8.5,43.0,17.0,22.0,38.0,28.0,1013.6,1008.1,5.0,1.0,24.5,31.6,Albury,NE,NE,N,No,No
20.5,31.8,0.0,4.8,8.5,41.0,19.0,20.0,54.0,24.0,1007.8,1005.7,5.0,5.0,23.8,30.8,Albury,WNW,W,W,No,No
15.3,30.9,0.0,4.8,8.5,33.0,6.0,13.0,55.0,23.0,1011.0,1008.2,5.0,5.0,20.9,29.0,Albury,N,ESE,NW,No,No
12.6,32.4,0.0,4.8,8.5,43.0,4.0,19.0,49.0,17.0,1012.9,1010.1,5.0,5.0,21.5,31.2,Albury,W,E,W,No,No
16.2,33.9,0.0,4.8,8.5,35.0,9.0,13.0,45.0,19.0,1010.9,1007.6,5.0,1.0,23.2,33.0,Albury,WSW,SE,WSW,No,No
16.9,33.0,0.0,4.8,8.5,57.0,0.0,26.0,41.0,28.0,1006.8,1003.6,5.0,1.0,26.6,31.2,Albury,WSW,N,W,No,No
20.1,32.7,0.0,4.8,8.5,48.0,13.0,30.0,56.0,15.0,1005.2,1001.7,5.0,5.0,24.6,32.1,Albury,WNW,N,WNW,No,No
19.7,27.2,0.0,4.8,8.5,46.0,19.0,30.0,49.0,22.0,1004.8,1004.2,5.0,5.0,21.6,26.1,Albury,WNW,NW,WSW,No,Yes
12.5,24.2,1.2,4.8,8.5,50.0,11.0,22.0,78.0,70.0,1005.6,1003.4,8.0,8.0,12.5,18.2,Albury,WNW,WSW,SW,Yes,No
12.0,24.4,0.8,4.8,8.5,39.0,17.0,17.0,48.0,28.0,1006.1,1005.1,1.0,5.0,16.9,22.7,Albury,W,WNW,WNW,No,No
11.3,26.5,0.0,4.8,8.5,56.0,19.0,31.0,46.0,26.0,1004.5,1003.2,5.0,5.0,19.7,25.7,Albury,WNW,W,WNW,No,No
9.6,23.9,0.0,4.8,8.5,41.0,19.0,11.0,44.0,22.0,1014.4,1013.1,5.0,5.0,14.9,22.1,Albury,W,WSW,SSW,No,No
10.5,28.8,0.0,4.8,8.5,26.0,11.0,7.0,43.0,22.0,1018.7,1014.8,5.0,5.0,17.1,26.5,Albury,SSE,SSE,E,No,No
12.3,34.6,0.0,4.8,8.5,37.0,6.0,17.0,41.0,12.0,1015.1,1010.3,5.0,5.0,20.7,33.9,Albury,WNW,SSE,NW,No,No
12.9,35.8,0.0,4.8,8.5,41.0,6.0,26.0,41.0,9.0,1012.6,1009.2,5.0,5.0,22.4,34.4,Albury,WNW,ENE,NW,No,No
13.7,37.9,0.0,4.8,8.5,52.0,4.0,26.0,33.0,8.0,1010.9,1006.7,5.0,5.0,23.1,36.8,Albury,W,SE,WNW,No,No
16.1,38.9,0.0,4.8,8.5,57.0,6.0,30.0,34.0,12.0,1007.0,1002.7,5.0,5.0,25.2,38.4,Albury,W,E,W,No,No
14.0,28.3,0.0,4.8,8.5,48.0,17.0,24.0,43.0,15.0,1011.9,1010.9,5.0,5.0,17.9,27.6,Albury,W,W,WSW,No,No
12.5,28.4,0.0,4.8,8.5,37.0,20.0,9.0,38.0,16.0,1017.8,1013.7,5.0,5.0,17.2,26.6,Albury,NE,SSE,S,No,No
17.0,30.8,0.0,4.8,8.5,37.0,15.0,11.0,36.0,24.0,1013.4,1008.1,5.0,5.0,20.2,29.3,Albury,NE,NNE,E,No,No
16.9,32.0,0.0,4.8,8.5,31.0,13.0,17.0,52.0,31.0,1009.9,1006.8,5.0,5.0,22.8,30.0,Albury,S,SSE,N,No,No
17.3,34.7,0.0,4.8,8.5,35.0,7.0,15.0,48.0,16.0,1014.1,1012.1,5.0,5.0,24.2,33.2,Albury,SW,SE,WSW,No,No
17.2,37.7,0.0,4.8,8.5,35.0,7.0,17.0,51.0,19.0,1015.7,1010.9,5.0,5.0,24.3,35.7,Albury,NNW,SE,NW,No,No
17.4,43.0,0.0,4.8,8.5,39.0,7.0,17.0,40.0,8.0,1011.6,1006.9,5.0,5.0,25.6,41.5,Albury,NW,SSE,SSW,No,No
